"smelt_ID","smelt_date","smelt_survey","smelt_station","smelt_sal","smelt_secchi","smelt_temp","smelt_lat","smelt_long","zoop_ID","zoop_station","zoop_date","zoop_lat","zoop_long","zoop_sal_avg"
"2014_CCE_0260",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0261",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0263",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0267",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0268",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0270",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0272",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0273",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0276",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0277",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0279",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0281",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0283",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0284",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0286",2014-09-25,"CCE","705",1.361856478,0.479999989,21,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2014_CCE_0319",2014-09-25,"CCE","705",1.437066376,0.620000005,20.79999924,38.07925,-121.7618,"FMWT 704 2014-09-11","704",2014-09-11,38.07087,-121.77892,2.24117498740791
"2018_EDSM_0129",2018-09-27,"EDSM","19-09-LSSC02",0.209392948,0.39,20.8,38.39376,-121.62058,"FMWT 797 2018-10-09","797",2018-10-09,38.40462,-121.6156,0.253763898363319
